#longitude   latitude	    City
-99.88333       16.86667        "Acapulco, Mex."
-73.750000	42.670000	"Albany, N.Y."
-106.650000	35.080000	"Albuquerque, N.M."
-101.830000	35.180000	"Amarillo, Tex."
-149.900000	61.220000	"Anchorage, Alaska"
-84.380000	33.750000	"Atlanta, Ga."
-97.730000	30.270000	"Austin, Tex."
-117.830000	44.780000	"Baker, Ore."
-88.76667       17.25           "Belopan, Belize"
-76.630000	39.300000	"Baltimore, Md."
-68.780000	44.800000	"Bangor, Maine"
-86.830000	33.500000	"Birmingham, Ala."
-100.780000	46.800000	"Bismarck, N.D."
-116.220000	43.600000	"Boise, Idaho"
-71.080000	42.350000	"Boston, Mass."
-78.830000	42.920000	"Buffalo, N.Y."
-114.020000	51.020000	"Calgary, Alba., Can."
-104.250000	32.430000	"Carlsbad, N.M."
-79.930000	32.780000	"Charleston, S.C."
-81.630000	38.350000	"Charleston, W. Va."
-80.830000	35.230000	"Charlotte, N.C."
-104.870000	41.150000	"Cheyenne, Wyo."
-87.620000	41.830000	"Chicago, Ill."
-84.500000	39.130000	"Cincinnati, Ohio"
-81.620000	41.470000	"Cleveland, Ohio"
-81.030000	34.000000	"Columbia, S.C."
-83.020000	40.000000	"Columbus, Ohio"
-96.770000	32.770000	"Dallas, Tex."
-105.000000	39.750000	"Denver, Colo."
-93.620000	41.580000	"Des Moines, Iowa"
-83.050000	42.330000	"Detroit, Mich."
-90.670000	42.520000	"Dubuque, Iowa"
-92.080000	46.820000	"Duluth, Minn."
-67.000000	44.900000	"Eastport, Maine"
-113.470000	53.570000	"Edmonton, Alb., Can."
-115.550000	32.630000	"El Centro, Calif."
-106.480000	31.770000	"El Paso, Tex."
-123.080000	44.050000	"Eugene, Ore."
-96.800000	46.870000	"Fargo, N.D."
-111.680000	35.220000	"Flagstaff, Ariz."
-97.320000	32.720000	"Fort Worth, Tex."
-85.13333       41.08333        "Fort Wayne, IN"
-119.800000	36.730000	"Fresno, Calif."
-108.550000	39.080000	"Grand Junction, Colo."
-85.670000	42.970000	"Grand Rapids, Mich."
-90.5333        14.83333"       "Guatemala City"
-109.720000	48.550000	"Havre, Mont."
-112.030000	46.580000	"Helena, Mont."
-157.830000	21.300000	"Honolulu, Hawaii"
-93.050000	34.520000	"Hot Springs, Ark."
-95.350000	29.750000	"Houston, Tex."
-112.020000	43.500000	"Idaho Falls, Idaho"
-86.170000	39.770000	"Indianapolis, Ind."
-90.1833        38.6333         "Jackson, FLa."
-90.200000	32.330000	"Jackson, Miss."
-81.670000	30.370000	"Jacksonville, Fla."
-134.400000	58.300000	"Juneau, Alaska"
-94.580000	39.100000	"Kansas City, Mo."
-81.800000	24.550000	"Key West, Fla."
-76.500000	44.250000	"Kingston, Ont., Can."
-121.730000	42.170000	"Klamath Falls, Ore."
-83.930000	35.950000	"Knoxville, Tenn."
-115.200000	36.170000	"Las Vegas, Nev."
-117.030000	46.400000	"Lewiston, Idaho"
-92.33333       34.7333         "Little Rock, Ark"
-96.670000	40.830000	"Lincoln, Neb."
-81.570000	43.030000	"London, Ont., Can."
-118.180000	33.770000	"Long Beach, Calif."
-118.250000	34.050000	"Los Angeles, Calif."
-85.770000	38.250000	"Louisville, Ky."
-71.500000	43.000000	"Manchester, N.H."
-90.050000	35.150000	"Memphis, Tenn."
-90.2179        38.0095         "Bloomsdale, Mo"
-89.616667      20.96667        "Merida, Mex."
-99.13333       19.43333        "Mexico City"
-80.200000	25.770000	"Miami, Fla."
-87.920000	43.030000	"Milwaukee, Wis."
-93.230000	44.980000	"Minneapolis, Minn."
-88.050000	30.700000	"Mobile, Ala."
-86.300000	32.350000	"Montgomery, Ala."
-72.530000	44.250000	"Montpelier, Vt."
-89.589		40.6936         "Peoria, IL"
-89.771		43.6275         "Wisconsin Dells, WI"
-73.580000	45.500000	"Montreal, Que., Can."
-105.520000	50.620000	"Moose Jaw, Sask., Can."
-86.780000	36.170000	"Nashville, Tenn."
-117.280000	49.500000	"Nelson, B.C., Can."
-74.170000	40.730000	"Newark, N.J."
-89.6301        44.9591         "Wasau, WI"
-72.920000	41.320000	"New Haven, Conn."
-90.070000	29.950000	"New Orleans, La."
-73.970000	40.780000	"New York, N.Y."
-165.500000	64.420000	"Nome, Alaska"
-122.270000	37.800000	"Oakland, Calif."
-97.470000	35.430000	"Oklahoma City, Okla."
-95.930000	41.250000	"Omaha, Neb."
-81.3           28.416667       "Orlando, FL"
-75.720000	45.400000	"Ottawa, Ont., Can."
-75.170000	39.950000	"Philadelphia, Pa."
-112.070000	33.480000	"Phoenix, Ariz."
-100.350000	44.370000	"Pierre, S.D."
-79.950000	40.450000	"Pittsburgh, Pa."
-70.250000	43.670000	"Portland, Maine"
-122.680000	45.520000	"Portland, Ore."
-71.400000	41.830000	"Providence, R.I."
-98.26667       19.05           "Puebla, Mex."
-71.180000	46.820000	"Quebec, Que., Can."
-91.56667       14.83333        "Quetzaltenango, Guat."
-78.650000	35.770000	"Raleigh, N.C."
-119.820000	39.500000	"Reno, Nev."
-112.080000	38.770000	"Richfield, Utah"
-77.480000	37.550000	"Richmond, Va."
-79.950000	37.280000	"Roanoke, Va."
-121.500000	38.580000	"Sacramento, Calif."
-66.170000	45.300000	"St. John, N.B., Can."
-90.200000	38.580000	"St. Louis, Mo."
-111.900000	40.770000	"Salt Lake City, Utah"
-98.550000	29.380000	"San Antonio, Tex."
-117.170000	32.700000	"San Diego, Calif."
-122.430000	37.780000	"San Francisco, Calif."
-121.880000	37.330000	"San Jose, Calif."
-66.170000	18.500000	"San Juan, P.R."
-89.18333       13.68333        "San Salvador"   
-105.950000	35.680000	"Santa Fe, N.M."
-81.080000	32.080000	"Savannah, Ga."
-122.330000	47.620000	"Seattle, Wash."
-93.700000	32.470000	"Shreveport, La."
-96.730000	43.550000	"Sioux Falls, S.D."
-135.250000	57.170000	"Sitka, Alaska"
-117.430000	47.670000	"Spokane, Wash."
-89.630000	39.800000	"Springfield, Ill."
-72.570000	42.100000	"Springfield, Mass."
-93.280000	37.220000	"Springfield, Mo."
-76.130000	43.030000	"Syracuse, N.Y."
-82.450000	27.950000	"Tampa, Fla."
-97.86667       22.25           "Tampico, Mex."
-92.26667       14.9            "Tapachula, Mex."
-89.25          48.38333        "Thunder Bay, Ca."
-90.466667	49.05           "Upsala, Ontario"
-83.550000	41.650000	"Toledo, Ohio"
-79.400000	43.670000	"Toronto, Ont., Can."
-95.980000	36.150000	"Tulsa, Okla."
-123.100000	49.220000	"Vancouver, B.C., Can."
-96.15          19.18333        "Veravruz, Mex."
-123.350000	48.420000	"Victoria, B.C., Can."
-75.970000	36.850000	"Virginia Beach, Va."
-77.030000	38.880000	"Washington, D.C."
-97.280000	37.720000	"Wichita, Kan."
-77.950000	34.230000	"Wilmington, N.C."
-97.120000	49.900000	"Winnipeg, Man., Can."
