# longitude   latitude
-91.566670  14.833330
-92.266670  14.900000
-96.150000  19.183330
-98.266670  19.050000
-99.883330  16.866670
-99.133330  19.433330
-97.866670  22.250000
-98.550000  29.380000
-97.730000  30.270000
-95.350000  29.750000
-90.200000  32.330000
-90.070000  29.950000
-88.050000  30.700000
-86.300000  32.350000
-86.830000  33.500000
-90.050000  35.150000
-92.333330  34.733300
-93.050000  34.520000
-93.700000  32.470000
-96.770000  32.770000
-97.320000  32.720000
-101.830000  35.180000
-104.250000  32.430000
-106.480000  31.770000
-106.650000  35.080000
-105.950000  35.680000
-105.000000  39.750000
-104.870000  41.150000
-108.550000  39.080000
-111.900000  40.770000
-112.080000  38.770000
-111.680000  35.220000
-112.070000  33.480000
-115.550000  32.630000
-117.170000  32.700000
-118.180000  33.770000
-118.250000  34.050000
-115.200000  36.170000
-119.800000  36.730000
-119.820000  39.500000
-121.500000  38.580000
-121.880000  37.330000
-122.270000  37.800000
-122.430000  37.780000
-157.830000  21.300000
-165.500000  64.420000
-149.900000  61.220000
-134.400000  58.300000
-135.250000  57.170000
-123.100000  49.220000
-123.350000  48.420000
-122.330000  47.620000
-122.680000  45.520000
-123.080000  44.050000
-121.730000  42.170000
-117.830000  44.780000
-116.220000  43.600000
-112.020000  43.500000
-112.030000  46.580000
-117.030000  46.400000
-117.430000  47.670000
-117.280000  49.500000
-114.020000  51.020000
-113.470000  53.570000
-109.720000  48.550000
-105.520000  50.620000
-97.120000  49.900000
-96.800000  46.870000
-100.780000  46.800000
-100.350000  44.370000
-96.730000  43.550000
-93.230000  44.980000
-92.080000  46.820000
-90.466667  49.050000
-89.250000  48.383330
-89.630100  44.959100
-89.771000  43.627500
-90.670000  42.520000
-93.620000  41.580000
-95.930000  41.250000
-96.670000  40.830000
-94.580000  39.100000
-97.280000  37.720000
-97.470000  35.430000
-95.980000  36.150000
-93.280000  37.220000
-90.217900  38.009500
-90.200000  38.580000
-90.183300  38.633300
-89.630000  39.800000
-89.589000  40.693600
-87.620000  41.830000
-87.920000  43.030000
-85.670000  42.970000
-85.133330  41.083330
-86.170000  39.770000
-84.500000  39.130000
-85.770000  38.250000
-86.780000  36.170000
-84.380000  33.750000
-83.930000  35.950000
-79.950000  37.280000
-81.630000  38.350000
-83.020000  40.000000
-79.950000  40.450000
-81.620000  41.470000
-83.550000  41.650000
-83.050000  42.330000
-81.570000  43.030000
-79.400000  43.670000
-78.830000  42.920000
-76.130000  43.030000
-76.500000  44.250000
-75.720000  45.400000
-73.580000  45.500000
-72.530000  44.250000
-71.180000  46.820000
-66.170000  45.300000
-67.000000  44.900000
-68.780000  44.800000
-70.250000  43.670000
-71.500000  43.000000
-71.080000  42.350000
-71.400000  41.830000
-72.570000  42.100000
-73.750000  42.670000
-72.920000  41.320000
-73.970000  40.780000
-74.170000  40.730000
-75.170000  39.950000
-76.630000  39.300000
-77.030000  38.880000
-77.480000  37.550000
-75.970000  36.850000
-77.950000  34.230000
-78.650000  35.770000
-80.830000  35.230000
-81.030000  34.000000
-79.930000  32.780000
-81.080000  32.080000
-81.670000  30.370000
-81.300000  28.416667
-82.450000  27.950000
-80.200000  25.770000
-66.170000  18.500000
-81.800000  24.550000
-89.616667  20.966670
-88.766670  17.250000
-89.183330  13.683330
-90.533300  14.833330
