#LON	LAT
-100.28	34.43
-100.28	44.38
-100	40.87
-100.43	45.53
-100.5	31.37
-100.55	42.87
-100.58	40.22
-100.68	41.13
-100.72	37.93
-100.75	46.77
-100.78	29.37
-100.92	29.37
-100.97	37.05
-101.05	42.05
-101.28	48.27
-101.35	48.42
-101.39	40.33
-101.45	32.3
-101.48	32.39
-101.63	40.53
-101.6	44.05
-101.71	34.17
-101.7	35.23
-101.7	39.37
-101.82	33.65
-101.83	47.75
-101.88	37
-102.05	33.6
-102.17	45.93
-102.18	31.95
-102.42	30.17
-102.55	36.02
-102.6	38.12
-102.8	42.05
-102.8	46.78
-102.98	41.1
-103.07	44.05
-103.08	42.83
-103.1	44.15
-103.15	36.45
-103.22	40.17
-103.2	31.78
-103.2	32.68
-103.32	34.38
-103.32	45.16
-103.52	38.05
-103.63	48.18
-103.6	35.18
-103.6	41.87
-103.6	43.77
-103.7	39.18
-104.02	30.37
-104.18	47.72
-104.27	32.33
-104.33	37.25
-104.52	38.28
-104.53	33.3
-104.5	36.74
-104.63	40.43
-104.72	38.82
-104.75	39.72
-104.77	38.68
-104.81	44.35
-104.82	41.15
-104.8	31.83
-104.83	39.57
-104.8	47.13
-104.87	39.75
-105.02	40.45
-105.08	40.58
-105.12	39.9
-105.15	35.65
-105.35	39.52
-105.38	42.75
-105.53	44.35
-105.5	39.57
-105.57	36.42
-105.58	48.1
-105.67	45.67
-105.68	34.1
-105.68	41.32
-105.87	37.45
-105.87	40
-105.87	46.43
-106.05	34.98
-106.05	38.53
-106.08	35.62
-106.1	32.85
-106.28	35.88
-106.3	39.25
-106.4	31.8
-106.4	32.63
-106.4	32.9
-106.47	42.92
-106.62	48.22
-106.6	35.05
-106.77	32.3
-106.82	40.48
-106.87	39.22
-106.92	38.55
-106.92	39.65
-106.93	38.55
-106.9	34.07
-106.93	47.33
-106.95	36.02
-106.97	44.77
-107.2	41.8
-107.27	33.23
-107.53	40.5
-107.7	32.25
-107.75	37.15
