# longitude   latitude
-72.000000  42.800000
-71.500000  43.200000
-71.430000  43.570000
-71.380000  44.000000
-71.300000  44.270000
-71.180000  44.580000
-70.880000  44.880000
-69.550000  45.450000
-69.630000  45.780000
-68.050000  46.680000
-68.020000  46.870000
-67.880000  46.950000
-67.780000  46.130000
-68.820000  44.800000
-68.370000  44.450000
-69.120000  44.070000
-69.800000  44.320000
-69.930000  43.880000
-70.320000  43.650000
-70.820000  43.080000
-71.120000  42.720000
-70.920000  42.580000
-71.030000  42.370000
-70.930000  42.150000
-70.500000  41.780000
-70.520000  41.650000
-70.280000  41.670000
-69.970000  41.670000
-70.070000  41.250000
-70.620000  41.400000
-70.970000  41.680000
-71.250000  41.360000
-71.580000  41.170000
-71.420000  41.600000
-71.430000  41.730000
-71.180000  42.180000
-71.280000  42.470000
-71.430000  42.930000
-71.520000  42.780000
-71.600000  42.570000
-71.870000  42.270000
-72.530000  42.200000
-72.720000  42.170000
-72.680000  41.930000
-72.650000  41.730000
-72.050000  41.330000
-72.080000  41.300000
-72.670000  41.220000
-72.630000  40.850000
-73.100000  40.780000
-73.430000  40.730000
-73.780000  40.650000
-73.900000  40.770000
-73.980000  40.770000
-74.170000  40.700000
-74.370000  40.750000
-74.420000  40.800000
-74.280000  40.870000
-74.050000  40.850000
-73.720000  41.070000
-73.130000  41.170000
-72.880000  41.270000
-72.900000  41.270000
-73.480000  41.370000
-74.100000  41.500000
-73.880000  41.630000
-74.800000  41.700000
-75.730000  41.330000
-75.430000  40.650000
-75.970000  40.380000
-76.920000  41.250000
-77.830000  40.850000
-78.130000  41.470000
-78.630000  41.800000
-78.900000  41.180000
-78.830000  40.320000
-79.090000  40.270000
-79.400000  40.280000
-79.930000  40.350000
-80.220000  40.500000
-80.330000  40.750000
-80.650000  40.180000
-79.920000  39.650000
-80.230000  39.280000
-79.850000  38.880000
-78.850000  38.270000
-78.450000  38.130000
-77.330000  37.500000
-77.300000  38.500000
-76.400000  38.280000
-76.670000  39.180000
-76.770000  39.080000
-76.870000  38.820000
-77.040000  38.850000
-77.180000  38.720000
-77.460000  38.950000
-77.980000  39.400000
-77.720000  39.700000
-77.430000  39.730000
-78.320000  40.300000
-77.420000  40.370000
-76.850000  40.220000
-76.770000  40.200000
-76.570000  40.430000
-76.300000  40.130000
-76.420000  39.330000
-76.170000  39.470000
-75.600000  39.670000
-75.250000  39.880000
-75.020000  40.080000
-75.150000  40.200000
-74.820000  40.280000
-74.600000  40.020000
-74.280000  40.280000
-74.350000  40.030000
-74.570000  39.450000
-75.070000  39.370000
-75.470000  39.130000
-75.130000  38.550000
-75.500000  38.330000
-75.480000  37.850000
-76.200000  37.500000
-76.620000  37.130000
-76.500000  37.130000
-76.370000  37.080000
-76.280000  36.930000
-76.200000  36.900000
-76.030000  36.820000
-76.180000  36.270000
-76.500000  36.130000
-75.680000  35.920000
-75.500000  35.250000
-75.550000  35.270000
-76.880000  34.900000
-77.050000  35.080000
-77.630000  35.320000
-77.880000  35.850000
-77.970000  35.330000
-79.020000  35.170000
-78.930000  35.130000
-78.880000  35.000000
-77.620000  34.820000
-77.430000  34.700000
-77.920000  34.270000
-78.720000  33.820000
-78.930000  33.680000
-79.720000  34.180000
-80.470000  33.970000
-80.030000  32.900000
-80.720000  32.480000
-81.200000  32.130000
-81.150000  32.020000
-81.570000  31.880000
-82.400000  31.250000
-83.200000  30.970000
-83.280000  30.780000
-84.180000  31.530000
-82.520000  31.530000
-81.380000  31.150000
-81.700000  30.500000
-81.420000  30.400000
-81.520000  30.330000
-81.880000  30.220000
-81.680000  30.230000
-81.050000  29.180000
-81.250000  28.780000
-80.800000  28.520000
-80.680000  28.620000
-80.550000  28.470000
-80.600000  28.230000
-80.630000  28.100000
-80.420000  27.650000
-80.120000  26.680000
-80.130000  26.130000
-80.150000  26.070000
-80.280000  25.920000
-80.280000  25.820000
-80.430000  25.650000
-80.380000  25.480000
-81.680000  24.570000
-81.750000  24.550000
-81.800000  26.130000
-81.870000  26.580000
-81.870000  26.650000
-82.550000  27.400000
-82.770000  27.600000
-82.680000  27.920000
-82.600000  27.970000
-82.530000  27.970000
-82.520000  27.850000
-81.950000  28.030000
-81.550000  28.080000
-81.320000  28.430000
-81.330000  28.550000
-81.570000  29.120000
-82.270000  29.680000
-83.100000  29.620000
-84.370000  30.380000
-85.030000  29.730000
-85.580000  30.070000
-85.680000  30.200000
-86.530000  30.480000
-86.680000  30.430000
-87.320000  30.350000
-87.200000  30.470000
-87.020000  30.720000
-86.520000  30.650000
-86.520000  30.780000
-85.450000  31.320000
-85.180000  30.840000
-85.720000  31.280000
-86.020000  31.870000
-85.000000  32.330000
-84.930000  32.520000
-85.070000  33.010000
-85.440000  32.670000
-85.850000  33.580000
-86.090000  33.970000
-86.770000  34.650000
-87.620000  34.750000
-88.920000  35.600000
-87.500000  36.670000
-87.420000  36.620000
-86.680000  36.120000
-86.500000  36.000000
-85.080000  35.950000
-83.980000  35.820000
-84.870000  34.530000
-85.200000  35.030000
-85.510000  35.150000
-85.170000  34.350000
-84.520000  33.920000
-84.300000  33.880000
-84.520000  33.780000
-84.420000  33.650000
-83.650000  32.700000
-83.600000  32.630000
-83.320000  33.950000
-82.720000  34.500000
-81.970000  33.370000
-81.120000  33.950000
-80.800000  33.920000
-81.960000  34.920000
-82.220000  34.900000
-82.350000  34.850000
-82.550000  35.430000
-82.820000  35.900000
-82.400000  36.480000
-81.380000  35.750000
-80.930000  35.220000
-80.230000  36.130000
-79.950000  36.080000
-79.500000  35.030000
-79.390000  35.240000
-78.780000  35.870000
-79.330000  36.570000
-78.980000  36.950000
-79.200000  37.330000
-79.820000  37.950000
-79.970000  37.320000
-80.200000  37.460000
-80.400000  37.870000
-81.220000  37.300000
-81.120000  37.780000
-81.600000  38.370000
-82.520000  37.480000
-84.070000  37.080000
-85.000000  38.050000
-83.320000  37.600000
-82.550000  38.370000
-82.230000  39.210000
-81.430000  39.350000
-81.900000  39.950000
-82.930000  39.820000
-82.880000  40.000000
-83.070000  40.080000
-84.050000  39.830000
-84.200000  39.900000
-84.430000  39.100000
-84.670000  39.050000
-86.620000  39.130000
-87.300000  39.450000
-86.500000  39.380000
-85.730000  38.180000
-85.670000  38.230000
-85.970000  37.900000
-86.430000  36.970000
-87.170000  37.750000
-87.530000  38.050000
-88.860000  38.320000
-89.090000  38.510000
-88.960000  38.630000
-89.170000  38.990000
-89.330000  39.530000
-89.670000  39.850000
-91.200000  39.930000
-90.660000  40.520000
-90.430000  40.930000
-91.120000  40.780000
-92.550000  40.100000
-93.720000  40.250000
-93.930000  40.620000
-93.650000  41.530000
-92.450000  41.100000
-91.700000  41.880000
-92.400000  42.550000
-93.330000  43.150000
-91.250000  43.870000
-92.500000  43.920000
-93.370000  43.680000
-93.920000  44.220000
-94.420000  43.650000
-94.750000  43.400000
-94.180000  42.550000
-96.020000  41.370000
-95.900000  41.300000
-95.920000  41.120000
-96.750000  40.850000
-96.750000  40.320000
-95.530000  40.280000
-95.580000  40.070000
-96.670000  39.150000
-96.770000  39.050000
-95.670000  38.950000
-95.620000  39.070000
-94.880000  38.820000
-94.900000  38.850000
-94.920000  39.370000
-94.720000  39.320000
-94.600000  39.120000
-94.550000  38.850000
-93.550000  38.730000
-92.220000  38.820000
-92.170000  38.600000
-90.370000  38.750000
-90.050000  38.880000
-89.850000  38.550000
-90.150000  38.570000
-90.630000  38.650000
-91.770000  38.130000
-92.130000  37.750000
-92.420000  37.220000
-91.900000  36.880000
-90.930000  36.130000
-90.650000  35.830000
-89.950000  35.970000
-90.470000  36.770000
-89.580000  37.230000
-89.250000  37.780000
-89.000000  37.750000
-88.770000  37.070000
-89.220000  37.070000
-89.400000  36.020000
-89.870000  35.350000
-90.000000  35.050000
-89.540000  34.390000
-90.080000  33.500000
-88.770000  34.270000
-88.450000  33.650000
-88.580000  33.450000
-86.750000  33.570000
-87.620000  33.230000
-87.250000  32.900000
-86.370000  32.380000
-86.400000  32.300000
-86.990000  32.340000
-88.070000  30.630000
-88.250000  30.680000
-89.070000  30.400000
-88.920000  30.420000
-89.050000  28.780000
-89.820000  30.350000
-90.030000  30.030000
-90.250000  29.980000
-90.020000  29.830000
-89.670000  29.550000
-90.070000  29.180000
-90.650000  29.570000
-91.100000  29.700000
-91.200000  29.700000
-91.150000  30.530000
-90.470000  31.180000
-89.330000  31.470000
-89.170000  31.670000
-88.750000  32.330000
-88.570000  32.550000
-90.080000  32.320000
-90.980000  33.480000
-91.930000  34.170000
-92.400000  33.520000
-92.800000  33.220000
-92.050000  32.520000
-91.250000  31.620000
-92.300000  31.380000
-92.550000  31.330000
-92.950000  31.220000
-93.200000  31.050000
-94.020000  30.580000
-94.750000  31.230000
-93.670000  32.500000
-93.750000  32.520000
-93.820000  32.470000
-94.720000  32.380000
-95.400000  32.370000
-96.070000  33.070000
-95.450000  33.630000
-94.000000  33.450000
-93.100000  34.480000
-92.250000  34.830000
-92.150000  34.920000
-92.380000  35.220000
-93.150000  36.270000
-94.170000  36.000000
-94.130000  36.180000
-93.380000  37.230000
-94.350000  37.330000
-94.500000  37.170000
-95.480000  37.670000
-96.200000  38.330000
-97.220000  37.750000
-97.270000  37.620000
-97.430000  37.650000
-97.870000  38.070000
-98.580000  37.300000
-97.920000  36.330000
-97.800000  36.380000
-97.100000  36.730000
-96.000000  36.750000
-95.900000  36.200000
-95.360000  35.660000
-94.370000  35.330000
-94.620000  34.680000
-95.780000  34.880000
-97.090000  36.160000
-97.380000  35.420000
-97.600000  35.400000
-97.650000  35.530000
-99.200000  35.350000
-99.050000  35.000000
-99.270000  34.670000
-100.280000  34.430000
-101.710000  34.170000
-101.820000  33.650000
-102.050000  33.600000
-101.480000  32.390000
-101.450000  32.300000
-100.500000  31.370000
-99.770000  30.500000
-99.080000  29.980000
-99.170000  29.350000
-98.580000  29.380000
-98.470000  29.330000
-98.470000  29.530000
-98.280000  29.530000
-96.920000  28.850000
-96.250000  28.720000
-95.870000  28.030000
-94.400000  28.130000
-93.750000  28.220000
-91.980000  28.300000
-91.780000  28.470000
-92.120000  29.730000
-91.880000  30.030000
-92.000000  30.200000
-93.220000  30.120000
-93.300000  29.780000
-94.870000  29.270000
-95.170000  29.620000
-95.280000  29.650000
-95.350000  29.970000
-95.550000  30.070000
-96.370000  30.580000
-97.220000  31.620000
-97.420000  31.150000
-96.870000  32.680000
-96.970000  32.730000
-97.430000  32.780000
-97.350000  32.820000
-97.030000  32.900000
-96.850000  32.850000
-96.830000  32.970000
-96.670000  33.720000
-97.020000  34.300000
-97.470000  35.230000
-98.400000  34.650000
-98.420000  34.570000
-98.500000  33.980000
-98.070000  32.780000
-98.180000  32.220000
-99.680000  32.420000
-99.850000  32.430000
-98.960000  31.790000
-97.830000  31.070000
-97.720000  31.150000
-97.680000  31.080000
-97.700000  30.300000
-97.680000  30.200000
-97.670000  28.370000
-97.030000  28.080000
-97.280000  27.700000
-97.500000  27.770000
-98.030000  27.730000
-97.820000  27.500000
-97.670000  26.230000
-97.430000  25.900000
-98.230000  26.180000
-99.470000  27.530000
-99.220000  28.450000
-100.780000  29.370000
-100.920000  29.370000
-102.420000  30.170000
-104.020000  30.370000
-106.400000  31.800000
-106.400000  32.630000
-106.770000  32.300000
-107.700000  32.250000
-108.170000  32.630000
-109.600000  31.450000
-110.350000  31.600000
-110.930000  32.120000
-110.880000  32.170000
-109.680000  32.820000
-107.270000  33.230000
-106.900000  34.070000
-105.680000  34.100000
-106.400000  32.900000
-106.100000  32.850000
-104.530000  33.300000
-104.270000  32.330000
-104.800000  31.830000
-103.200000  31.780000
-102.180000  31.950000
-103.200000  32.680000
-103.320000  34.380000
-103.600000  35.180000
-105.150000  35.650000
-105.570000  36.420000
-106.080000  35.620000
-106.050000  34.980000
-106.600000  35.050000
-107.900000  35.170000
-108.780000  35.520000
-106.280000  35.880000
-106.950000  36.020000
-108.230000  36.750000
-107.750000  37.150000
-106.920000  38.550000
-106.930000  38.550000
-106.870000  39.220000
-106.300000  39.250000
-106.050000  38.530000
-105.870000  37.450000
-104.500000  36.740000
-104.330000  37.250000
-104.520000  38.280000
-104.770000  38.680000
-104.720000  38.820000
-105.350000  39.520000
-105.500000  39.570000
-105.870000  40.000000
-106.920000  39.650000
-107.800000  39.530000
-108.530000  39.120000
-107.880000  38.500000
-108.630000  37.300000
-109.780000  38.030000
-110.700000  37.500000
-110.720000  38.370000
-109.750000  38.770000
-110.150000  39.000000
-110.750000  39.620000
-110.630000  40.500000
-109.520000  40.450000
-109.070000  41.600000
-108.730000  42.820000
-108.450000  43.050000
-107.970000  43.970000
-110.100000  42.570000
-111.000000  41.330000
-111.850000  41.780000
-112.320000  42.170000
-111.580000  42.650000
-112.070000  43.520000
-112.600000  42.920000
-113.370000  42.300000
-113.770000  42.530000
-114.480000  42.480000
-114.300000  43.500000
-115.170000  43.000000
-115.870000  43.050000
-116.170000  42.580000
-116.250000  41.330000
-116.870000  40.620000
-117.800000  40.900000
-117.130000  39.830000
-117.080000  39.500000
-118.700000  39.420000
-118.920000  40.100000
-119.780000  39.500000
-120.130000  39.320000
-120.700000  39.280000
-120.000000  38.900000
-118.630000  38.550000
-118.920000  37.630000
-118.600000  37.600000
-117.080000  38.070000
-115.970000  39.500000
-114.850000  39.280000
-115.780000  40.830000
-114.050000  41.220000
-113.070000  41.050000
-112.020000  41.180000
-111.970000  41.120000
-111.970000  40.780000
-111.720000  40.220000
-112.200000  40.170000
-112.930000  40.200000
-112.580000  39.330000
-113.030000  38.720000
-113.100000  37.700000
-113.600000  37.080000
-111.450000  36.930000
-112.150000  35.950000
-112.430000  34.650000
-111.670000  35.130000
-110.730000  35.020000
-110.000000  34.270000
-111.330000  34.230000
-111.920000  33.620000
-111.730000  33.470000
-111.670000  33.300000
-112.020000  33.430000
-112.080000  33.680000
-112.380000  33.530000
-112.380000  33.420000
-113.170000  33.550000
-114.720000  33.620000
-114.400000  32.850000
-114.620000  32.650000
-115.000000  33.100000
-115.570000  32.830000
